"ID";"Name";"LatinName";"Photo";"LandscapingZone";"ProsperityPeriod";"Description";"LocationPlace";"ViewForm";"global_id";
"46";"Горец живородящий";"Polygonum viviparum";"cdd3e1e4-8994-462d-be70-1fe8f1ddaab3";"Северный ландшафт";"Июнь - август
";"Корневища горца живородящего толщиной с палец и напоминают букву «S». С древности их использовали как кровоостанавливающее средство. Нижние цветки в соцветиях горца живородящего заменены клубнепочками, которые могут укореняться и прорастать, если попадут на почву. Поэтому растение и назвали «живородящим». Горец живородящий - двоюродный брат гречихи, оба растения принадлежат к одному семейству. Встретить этот вид можно в умеренной зоне Евразии и Северной Америки, иногда он растёт в высокогорьях на высотах до 2800 метров над уровнем моря. Горец живородящий легко узнаваем во время цветения: на вершине его цветоноса формируется колосовидное соцветие из небольших белых или розоватых цветков.";"Северный ландшафт";"Бесплатная";"881464861";
"47";"Камнеломка дернистая";"Saxifraga caespitosa";"34090a8d-6280-4b1f-89b2-f0704bb40fb4";"Северный ландшафт";"Апрель - июль";"Камнеломка дернистая полностью оправдывает своё название: она растёт на каменистых и щебнистых субстратах в Арктике и высокогорьях, образуя подушки. Маленькую камнеломку дернистую бывает сложно заметить в зелёном покрове, однако во время цветения сложно пройти её стороной. Белые цветки диаметром с рублёвую монету привлекают внимание своеобразной языковидной формой лепестков, а побег с цветками имеет красный оттенок. Стоит присмотреться и к листьям этого вида: они плотные, мясистые и собраны в маленькие клубочки. Камнеломка дернистая встречается в высокогорьях Европы и Северной Америки.";"Северный ландшафт";"Бесплатная";"881465881";
"48";"Очиток едкий";"Sedum acre";"30fb8a86-dc91-4c0e-897d-9bbbc0b7081f";"Северный ландшафт";"Апрель - июль

";"Очиток едкий способен расти по голым камням и скалам, которые очень бедны минеральным питанием. Однако он плохо переносит даже лёгкое затенение и засухи.
Ареал очитка едкого начинается в Северной части Африки и тянется через умеренную зону Европы вплоть до Западной Сибири, захватывая Европейскую часть России. Встретить его можно на песчаных почвах, а также в горах по щебнистым склонам и на трещинах в скалах. От других очитков, представленных в парке, этот вид отличается мясистыми мелкими листьями, похожими на рыбью чешую и ярко-жёлтыми цветками, похожими на пятиконечные звёздочки.";"Северный ландшафт";"Бесплатная";"881465898";
"50";"Очиток ложный";"Sedum spurium";"dd9aeae8-6e35-4833-8b29-8f8e7780db19";"Северный ландшафт";"Июнь - июль";"Очиток ложный - эндемик Кавказа, однако из-за широкого распространения в культуре его можно встретить во многих регионах как заносный вид. Очиток ложный встречается исключительно на Кавказе и на прилегающих к нему территориях, из-за чего растение считается кавказским эндемиком. От своих родственников, которых можно встретить в парке, очиток ложный отличается нежно-розовыми цветками и почти стелющимися короткими стеблями. В природе этот вид встречается на скалах и каменистых осыпях, но широко распространён и в культуре.";"Северный ландшафт";"Бесплатная";"881465910";
"51";"Живучка ползучая";"Ajuga reptans";"00b65109-c60d-4a41-a6ec-5e4c709be87d";"Хвойный лес";"Апрель - июнь
";"Живучка ползучая - типичный обитатель лесов Европы, в том числе и российских. Порой этот вид «выходит» из лесов на опушки и луга. Живучка ползучая образует два типа побегов: первые, ползучие, стелются по почве и укореняются, а другие растут вертикально, именно на них и образуются соцветия из небольших синих цветков, похожие на свечки. Хотя цветки и содержат нектар, опылители посещают лишь при отсутствии других медоносов поблизости. Благодаря наличию двух типов побегов, живучка растёт небольшими полянками, которая является клоном проросшей когда-то из семени особи.";"Хвойный лес";"Бесплатная";"881466173";
"52";"Копытень европейский";"Asarum europeum";"b20acbb9-8d7f-4bab-af1b-417fd6198da6";"Хвойный лес";"Апрель - май
";"Копытень европейский выбрал необычный способ опыления и распространения семян: для этих целей он привлекает муравьёв. Копытень европейский - редкий представитель тропического семейства Кирказоновых во флоре умеренной полосы. Однако он широко распространён в тенистых лесах Европы и Западной Сибири. Узнать копытень довольно просто по тёмно-зеленым листьям, похожим по форме на след лошади, - отсюда и русское название вида. А вот увидеть цветки этого растения уже не так просто: они невзрачные и растут на уровне почвы. Так растение приспособилось под опыление с помощью муравьёв.";"Хвойный лес";"Бесплатная";"881466212";
"49";"Очиток гибридный";"Sedum hybridum";"fa2b9f29-9c42-455c-903a-79ff8ddea752";"Северный ландшафт";"Июнь - июль";"Форма побегов очитка гибридного зависит от условий освещения: в тени он образует более разреженные прямостоячие побеги, а на свету растёт компактно. Очиток гибридный встречается в природе лишь на Алтае и в горах Средней Азии, где растёт по сухим каменистым склонам и осыпям. От двух других видов очитка, которые растут в парке, очиток гибридный отличается относительно крупными (до 2.5 см в длину) листьями яйцевидной формы с драным краем. Причем обычно листья растут парами друг напротив друга и каждая следующая пара расположена перпендикулярно предыдущей. С мая по август очиток гибридный цветёт небольшими жёлтыми цветками.";"Северный ландшафт";"Бесплатная";"881466246";
"53";"Ожика волосистая";"Lusula pilosa";"66f17061-e775-4f72-8d51-c62494fc77e5";"Хвойный лес";"Апрель - июнь";"Ожика волосистая - абориген наших лесов. Это растение привыкло жить на небогатых почвах в затенении, но при этом выглядит очень декоративно. Сначала может показаться, что ожика волосистая выглядит совсем как обыкновенные злаки и осоки, но это не совсем так. В апреле, когда ожика начинает цвести, её легко отличить по светлым метёлковидным соцветиям с обилием небольших белых цветков, которые к июню превращаются в мелкие шарообразные плодики. Такие плоды и цветки бывают только у представителей семейства ситниковых. Растёт этот вид в лесах по всей умеренной зоне Евразии и Северной Америки.";"Хвойный лес";"Бесплатная";"881466311";
"54";"Майник двулистный";"Majanthemum bifolium";"c3577a82-6dba-434f-bdd2-c5f899c620cd";"Хвойный лес";"Май - июнь";"В названии майника двулистного закодированы все основные черты растения: цветёт оно в мае, а после цветения от него остаются лишь два листа. Цветки у этого вида мелкие, собранные в грацильное кистевидное соцветие на верхушке побега. Листья растут всегда парами, тоже нежные, светло-зелёные, по форме похожи на ландыш, только значительно меньше в размерах. Растёт это хрупкое растеньице в темнохвойных и смешанных лесах от Британских островов до Дальнего Востока.";"Хвойный лес";"Бесплатная";"881466328";
"55";"Голокучник обыкновенный";"Gymnocarpium dryopteris";"02e2c3a4-1d33-4643-92e5-c8befb4a916f";"Хвойный лес";"Не цветет";"Голокучник обыкновенныйя может размножатся как спорами, так и с помощью длинных и тонких корневищ, расползающихся на несколько метров от материнского растения. Очень распространённый папоротник, предпочитающий расти в тенистых лесах умеренной зоны Евразии и Северной Америки. Под лесным пологом вайи голокучника вырастают не выше 30 см, а в просветах или на вырубках он может достигать полуметра в высоту. Отличить этот папоротник от родственников можно по листьям, чей контур похож на равносторонний треугольник.";"Хвойный лес";"Бесплатная";"881466508";
"56";"Щитовник расширенный";"Dryopteris dilatana";"9526e660-9266-4615-b689-a75835c8eda0";"Хвойный лес";"Не цветет
";"Щитовник расширенный родом из горных лесов Кавказа, Алтая и Дальнего Востока, где растёт на скалах, близ ручьёв. Щитовник расширенный растёт в Центральной и Южной Европе, а также в горных лесах Кавказа, Алтая, на Дальнем Востоке и в Северной Америке. В средней полосе России этот вид папоротников не встречается в природе. Он предпочитает богатые и влажные почвы, где может разрастаться до полутора метров в высоту. От наших местных видов щитовник расширенный отличается размером и «раскидитостью» листьев.";"Хвойный лес";"Бесплатная";"881466526";
"57";"Кошачья лапка двудомная";"Antennaria dioica";"8fa332cc-fcef-461a-9830-1e212693d729";"Хвойный лес";"Май - июль";"Розетки её листьев напоминают по контуру и на ощупь подушечки пальцев кошек - отсюда происходит и русское название растения. Растёт по всей Евразии, кроме тропических регионов, однако наиболее обильно она встречается в тундрах и высокогорьях. В средней полосе России её можно увидеть на бедных и сухих почвах. Такие условия бывают, например, в сосняках на песках. Узнать кошачью лапку довольно просто: её сплошь покрытые войлочным опушением листья выглядят белесо-сероватыми и образуют небольшие розетки. Из розеток в мае-июне выходит цветонос с несколькими соцветиями-корзинками на верхушке.";"Хвойный лес";"Бесплатная";"881466549";
"58";"Колокольчик персиколистный";"Campanula persicifolia";"172b188e-4679-48d3-ad54-717a7d262b86";"Хвойный лес";"Июнь - июль";"Колокольчик персиколистный - самый русский из всех колокольчиков: большая часть его ареала расположена в России. Ареал колокольчика персиколистного приходится на Восточную Европу, а наиболее обильно он растёт в Европейской части России. Встретить его можно на лугах, по опушкам или в светлых лесах. Отличить этот вид от других местных колокольчиков можно по цветкам, которые растут по 3-5 штук ближе к верхушке цветоноса. Их лепестки рассечены примерно на треть, а далее срастаются, образуя узнаваемый «колокол».";"Хвойный лес";"Бесплатная";"881466569";
"59";"Ландыш майский";"Convallaria majalis";"6d0f273f-67ac-443b-ade8-3064d6a183ef";"Хвойный лес";"Май - июнь";"Ландыш майский - очень красивое и уязвимое растение. Оно сильно страдает из-за вытаптывания в парках и лесах близ городов. Ареал ландыша майского охватывают всю умеренную зону Евразии и Северной Америки: его можно встретить в лиственных или сосновых лесах от Британии до Китая и США. Наверное, внешний вид ландыша не нуждается в подробном описании, но отметим некоторые особенности его размножения. Он способен очень быстро разрастаться с помощью длинного корневища, и клоны одной особи могут занять целую поляну.";"Хвойный лес";"Бесплатная";"881466617";
"60";"Гвоздика-травянка";"Dianthus deltoides";"946e9b41-f4b1-4a81-8fc4-b506f63b745d";"Хвойный лес";"Июнь - июль";"Гвоздика травянка заслужила своё русское родовое название из-за похожести семян на ржавые гвозди. Гвоздика-травянка широко распространённый евразийский вид, который можно встретить от атлантического побережья Европы до Байкала. Растёт этот вид преимущественно на лугах и заброшенных полях. Узнать его можно по красным цветкам, диаметром с пятирублёвую монету, лепестки которых заканчиваются несколькими зубчиками. Листья всегда расположены парами напротив друг друга, внизу побега они слегка округлой формы, а ближе к верху - заострённые.";"Хвойный лес";"Бесплатная";"881466647";
"61";"Перловник поникающий";"Melica nutans";"52f1520d-57fc-4da0-aeeb-7edf0e159cae";"Хвойный лес";"Май - июнь";"Название перловника поникшего происходит от слова «перло», переводящееся как жемчужина, бусина. От этого слова происходит и название перловой каши, но делают её из ячменя. Ареал перловника поникшего охватывает умеренную зону Евразии. Его можно встретить в тенистых широколиственных или сосновых лесах по все Европе, обычен для средней полосы России. От других злаков перловник хорошо отличается по соцветию: обычно все колоски в нём склоняются на одну сторону. Колос от этого поникает, отсюда происходит русское название растения.";"Хвойный лес";"Бесплатная";"881468491";
"62";"Вероника седая";"Verinica incana";"a4724929-c49b-402a-96ff-5d40031df939";"Хвойный лес";"Июнь - сентябрь";"Веронику седую можно встретить на лугах и в лесах на сухих почвах. От своих родственников она отличается серебристой окраской листьев. Ареал вероники седой охватывает большую часть умеренной зоны Евразии: она встречается, начиная с Сербии и заканчивая Дальним Востоком. Это растение имеет весьма примечательную внешность, поэтому узнать его довольно просто. Листья вероники седой серебристого цвета и бархатистые на ощупь. Летом на верхушке побега образуется похожее на свечку соцветие из ярко-фиолетовых или тёмно-синих цветов.";"Хвойный лес";"Бесплатная";"881468508";
"63";"Прострел раскрытый";"Pulsatilla patens";"8e70e6c0-44f5-4d00-a5a5-dcfade1bbcac";"Хвойный лес";"Апрель - май";"Прострел раскрытый - очень редкое растение, оно внесено в Красные книги многих субъектов РФ. Кроме того, прострел необычайно красив как в период цветения, так в плодах. Несмотря на то, что ареал прострела раскрытого охватывает огромные территории, начиная с Румынии и заканчивая Дальним Востоком, США и Канадой, встречается в природе он нечасто. Но если вам посчастливилось наткнуться на это растение, то опознать его предельно просто. Его побеги и сильно рассечённые листья густо опушены, а в апреле-мае он выпускает цветонос с крупным сине-фиолетовым цветком на верхушке.";"Хвойный лес";"Бесплатная";"881468513";
"64";"Волжанка обыкновенная";"Aruncus vulgaris";"70caa502-f39a-4462-ac50-ce8280524b99";"Смешанный лес";"Июнь - июль";"Волжанка обыкновенная - одно из самых крупных европейских травянистых растений. Её высота может превышать человеческий рост, однако стебли не одревесневают. Ареал волжанки обыкновенной покрывает лишь Центральную Европу, захватывая западные окраины России и Кавказ. Встретить это растение можно на богатых почвах в широколиственных лесах или вдоль горных рек. В благоприятных условиях может вырастать высотой с человеческий рост и образовывать раскидистые кусты. Листья волжанки похожи на ежевику, а в июне-июле на верхушках её побегов образуются метёлковидные белые соцветия.";"Смешанный лес";"Бесплатная";"881468519";
"65";"Вербейник монетчатый";"Lisimachia nummularia";"da7062da-50c3-4c11-bccb-d1a615ea5fba";"Смешанный лес";"Май - август";"Вербейник монетчатый известен также как полевой чай. В старину его листья, содержащие достаточно много витамина С, заваривали и пили. Вербейник монетчатый - европейский абориген, но сейчас его можно встретить в умеренной зоне Северной Америки как заносное растение. Растёт преимущественно на лугах, по опушкам и в светлых лесах. Этот вид имеет узнаваемую внешность: его побеги стелются по земле, иногда поднимаются вверх по основанию стволов деревьев. Округлые листья, размером с пятирублёвую монету, растут парами друг напротив друга. В начале лета из пазух листьев выходят жёлтые цветки.";"Смешанный лес";"Бесплатная";"881468521";
"66";"Бор развесистый";"Millium effusum";"8dcd3579-3ccd-427d-a0f7-6a99a7937b36";"Смешанный лес";"Май - июль";"Широкие и сочные листья бора развесистого охотно поедаются скотом, а из его семян в голодные годы делали муку и выпекали хлеб. Ареал бора развесистого охватывает всю Европу и тянется к Гималаям через юг Сибири. Различать злаки - задача не из простых, но у бора развесистого есть один необычный характерный признак. Листья на его цветоносе, свисая, перекручиваются на пол-оборота. Кроме того, у бора развесистого довольно крупное для злаков России соцветие. Растёт этот двоюродный брат ячменя и пшеницы во влажных тенистых лесах. В России его можно встретить, например, в ельниках.";"Смешанный лес";"Бесплатная";"881468524";
"67";"Купена многоцветковая";"Polygonatum multiflorum";"87b74333-291f-4c04-bc86-cd258e4bb918";"Смешанный лес";"Май";"Контуры венчика купены многоцветковой напоминают шестиконечную звезду, из-за чего растение иногда называют «соломонова печать». Ареал купены многоцветковой начинается от атлантического побережья Европы и через Европейскую часть России тянется на юго-восток вплоть до горного Непала. У нас это растение можно встретить в березняках или хвойных лесах, а также среди зарослей кустарников. Высотой до полуметра, побеги купены многоцветковой дугообразно изгибаются, а ланцетовидные листья с заострённым кончиком расположены в два ряда. В мае в пазухах листьев появляются цветоносы со свисающими вниз по 2-3 штуки белыми вытянутыми цветками.";"Смешанный лес";"Бесплатная";"881468529";
"68";"Герань лесная";"Geranium sylvaticum";"a6da38c0-2553-4e53-aee7-ed103ba3ef8a";"Смешанный лес";"Июнь - июль";"Герань лесная - удачное растение для создания композиции тенистого леса. Кроме того, селекционеры вывели на её основе множество сортов, которые и цветут дольше, и отличаются от дикого родственника махровыми цветками. Ареал герани лесной охватывает всю Европу, включая Европейскую часть России, и немного переваливает за Урал, в Южную Сибирь. Это растение можно встретить в лесах на богатых и влажных почвах. Отличить этот вид от ближайшего родственника, герани луговой, можно по менее рассечённым листьям или по торчащим цветоносам (у луговой они поникают). Цветки, как у многих гераней, синеватого цвета.";"Смешанный лес";"Бесплатная";"881468532";
"69";"Герань кроваво-красная";"Geranium sanguineum";"8aea68ed-af31-4799-8a0f-9d5f31bfc1b8";"Смешанный лес";"Июнь - август";"Герань кроваво-красную культивируют в Европе с начала XVI века. С тех пор путём селекции вывели несколько десятков её сортов. Герань кроваво-красная встречается в сухих и светлых лесах, по опушкам, полянам и лугам по всей Европе, заходя в Переднюю Азию. В России она встречается в средней полосе, а также в Крыму и на Кавказе. От родственников этот вид отличается лучше всего по крупным красновато-фиолетовым цветкам с широкими лепестками, накладывающимися друг на друга.";"Смешанный лес";"Бесплатная";"881468534";
"70";"Примула высокая";"Primula elatior";"19374d1f-eba3-497c-b2d9-da5d463b5302";"Смешанный лес";"Апрель - май";"Видовой эпитет «elatior» в переводе с латыни означает «высочайший». Первоцвет высокий действительно один из самых высоких (до 30 см) и ранних первоцветов. Ареал первоцвета высокого покрывает всю Европу и тянется через юг Сибири до Алтая. Этот вид первоцветов самый высокий среди своих братьев: высота его цветоносов порой достигает 40 см. Кроме высоты этот вид отличается языковидной формой листьев; у первоцвета весеннего, также представленного в парке, листья сужаются к концу. Цветут оба вида одними из первых, в апреле.";"Смешанный лес";"Бесплатная";"881468539";
"71";"Осока волосистая";"Carex pillosa";"fc0488e0-b420-4533-ba5a-8f36d8abff3d";"Смешанный лес";"Апрель - май
";"Не смотря на широкое распространение осоки волосистой, животные почти не едят её листья из-за высокого содержания кремнезема в них. Осока волосистая - самый обычный вид осок в Европе, включая Европейскую часть России. Его можно встретить в лесах и на опушках, а также в городах и парках. Осоку волосистую также весьма просто узнать: её листья с обеих сторон и по краю покрыты длинными редкими волосками (эта особенность отражена в названии вида). Кроме того, мужские и женские цветки собраны в разные колоски, причем мужской всегда расположен на верхушки, а женские под ним и зачастую плотно прилегают к стеблю.";"Смешанный лес";"Бесплатная";"881468542";
"72";"Зеленчук жёлтый";"Galeobdolon luteum";"2ab7e7f7-a7ec-448f-a0d6-1d44ebbdc68e";"Смешанный лес";"Май";"Сложно представить себе весенний широколиственный или смешанный лес без покрова жёлтых цветков зеленчука жёлтого. Его ареал тянется от Атлантического побережья до Урала. Зеленчук жёлтый можно назвать видом-европейцем: встретить его можно в широколиственных и смешанных лесах по всей Европе. У зеленчука есть два типа побегов: стелющиеся, которые укореняются в почве, и вертикально растущие, на которых в апреле - мае появляются небольшие жёлтые цветки. Иногда зеленчук жёлтый сильно разрастается и образует сплошные покровы в лесу.";"Смешанный лес";"Бесплатная";"881468547";
"73";"Ясменник душистый";"Asperula odorata";"1232a06f-91d0-4616-97c8-68fe353495e4";"Смешанный лес";"Апрель - июнь";"По-английски ясменник называют «дыханием младенца», видимо, из-за сладковатого запаха растения. В Германии его используют в качестве ароматизатора для майского вина, фруктового пунша и варенья.";"Смешанный лес";"Бесплатная";"881468556";
"74";"Коротконожка лесная";"Brachypodium sylvaticum";"11443f9f-4547-4d33-9e68-f6c62f6143d4";"Смешанный лес";"Июнь - август";"Исконно европейский вид - коротконожку лесную завезли в Северную Америку. Из-за отсутствия инфекций и поедателей, растение стало там расселяться и вытеснять местные виды. Коротконожка лесная распространена во влажных смешанных и широколиственных океанического климата: в Западной Европе, Северной Африке, Японии и Индонезии. В России этот вид можно встретить разве что в культуре. От своих двоюродных братьев по семейству злаковых этот вид отличается широкими глянцевыми листьями, образующими пышные куртины, и поникающими колосовидными соцветиями.";"Смешанный лес";"Бесплатная";"881468571";
"75";"Вероника дубравколистная";"Veronica chamaedrys";"19d33382-ffc2-4e40-8557-b911a004fa66";"Смешанный лес";"Июнь - сентябрь";"Вероника дубравная - важнейший компонент австрийского народного чая. Считается, что этот напиток успокаивает и нормализует обмен веществ. Вероника дубравная очень красиво смотрится в ландшафтных посадках, однако собрать её в букет не получится. Лепестки с её цветков быстро опадают с сорванных растений. Ареал вероники дубравной охватывает всю умеренную зону Евразии и Северной Америки. Встречается этот вид в смешанных и широколиственных лесах, по опушкам и порой на лугах. Он довольно нетребователен к условиям. От своих родственников веронику дубравную легко отличить по изящным цветочкам размером с 10-копеечную монету, голубые лепестки которых окаймлены белой полосой, и двум рядам волосков на стебле.";"Смешанный лес";"Бесплатная";"881468574";
"76";"Незабудка лесная";"Myosotis sylvestris";"fc01c879-41b1-4876-aa4b-d4e441f0f057";"Смешанный лес";"Май - июнь";"В средневековой Европе женщины, чьи мужья участвовали в военных походах, носили цветки незабудки лесной как символ верности своим избранникам. Незабудка лесная - аборигенное растение широколиственных и смешанных лесов Европы. Её ареал тянется от атлантического побережья Евразии до Урала. От своих родственников незабудка лесная отличается лишь по тонким признакам, ботаники их различают уже после цветения. У незабудки лесной плод выглядывает из-под чашелистиков, а у ближайшей родственницы, незабудки полевой, - полностью скрыт.";"Смешанный лес";"Бесплатная";"881468594";
"77";"Ветреница дубравная";"Anemone nemorosa";"88f8ab31-4ec1-4674-bc71-f5e10b1ce241";"Смешанный лес";"Май";"Ветреница дубравная - очень привлекательный первоцвет, однако срывать, подносить к лицу и нюхать его не стоит. Её токсины раздражают кожу и слизистые оболочки. Один из раннецветущих видов широколиственных и смешанных лесов, ветреница дубравная, встречается в лесной зоне от атлантического побережья до Урала. Узнать этот вид можно по листьям: они сильно глубоко рассечены на три доли и обычно растут по 3 в одной мутовке. Верхушку побега увенчивает одиночный белый цветок, размером с 5-рублёвую монету. Цвести ветреница дубравная начинает в апреле, а в мае от неё остаётся лишь подземное корневище.";"Смешанный лес";"Бесплатная";"881468599";
"78";"Ветреница лютиковидная";"Anemone ranunculoides";"83740303-86ff-47ae-9a30-2172a80d7c02";"Смешанный лес";"Май - июнь";"Ветреницу лютичную можно увидеть лишь до распускания листьев на деревьях. С июня по апрель растение покоится в виде корневища. Такие растения называют эфемероидами. Ветреница лютичная цветёт всего 2-3 недели в апреле и начале мая, а всё оставшееся время в году покоится в земле в виде небольшого корневища. Узнать это растение можно по побегу, высотой около 25 см, на верхушке которого находится мутовка из трёх сильно рассечённых листьев и несколько цветоносов, увенчанных похожих на лютик цветком. Ареал ветреницы лютичной охватывает всю Европу, а встретить её можно в смешанных и широколиственных лесах.";"Смешанный лес";"Бесплатная";"881468601";
"79";"Хохлатка полая";"Corydalis cava";"2a956eb1-16ac-4340-8295-59a66f4a534e";"Смешанный лес";"Апрель - май";"Клубень хохлатки полой часто сгнивает внутри. Карл Линней, описывая вид, вынес эту его особенность в видовой эпитет. В настоящее время хохлатка полая распространена по всей Европе, за исключением арктических и пустынных областей. Изначально её ареал охватывал лишь Карпаты. Хохлатка полая - растение-эфемероид: оно цветёт рано весной, пока в широколиственных лесах не распустились листья на деревьях, а потом уходит на покой до следующей весны. Вся надземная часть растения при этом отмирает. От своего близкого родственника, хохлатки плотной, этот вид отличается яйцевидной формой листьев, которые растут прямо под цветками.";"Смешанный лес";"Бесплатная";"881468607";
"80";"Хохлатка плотная";"Corydalis solida";"c08ddf00-849e-4c10-af69-69e11d1f68b2";"Смешанный лес";"Май";"Хохлатка плотная распространяет семена оригинальным способом. Её зрелые плоды молниеносно раскрываются от малейшего прикосновения, разбрасывая семена вокруг. Хохлатка плотная распространена от атлантического побережья Европы до Западной Сибири. Наиболее обильно встречается в широколиственных и смешанных лесах в Европейской части России. От близких видов (в том числе и хохлатки полой, представленной в парке), хохлатка плотная отличается формой листа под цветками. Эти листья как правило рассечены на доли и напоминают маленькую ладошку. Как и многие другие хохлатки, этот вид цветет весной, а всё оставшееся время покоится под землей.";"Смешанный лес";"Бесплатная";"881468609";
"81";"Тимьян ползучий";"Thymus serpyllum";"c8bcd2f9-be5d-439d-898a-426e4150a2a2";"Березовая роща";"Май - август";"Тимьян ползучий широко известен под названием «чабрец». Именно его листья используют в качестве ароматической добавки к чаю. Тимьян ползучий, или чабрец, растёт как малоприметная ползучая трава. Пока он не зацветает, его довольно сложно разглядеть среди других растений. В июне-июле на верхушках его цветоносах распускается головчатое соцветие - и тимьян сразу становится различимым среди травяного покрова. Узнать его можно и по маленьким листочкам (до 5 мм в длину) с заострённым кончиком, которые растут парами друг напротив друга. Они плотно покрыты желёзками, источающими узнаваемый аромат чабреца.";"Березовая роща";"Бесплатная";"881468611";
